Date,State,Abbreviation,Regular,Mid-Grade,Premium,Diesel
2026-04-03,North Carolina,NC,3.927,4.38,4.773,5.725
2026-04-03,North Dakota,ND,3.435,3.797,4.196,4.596
2026-04-03,Ohio,OH,3.758,4.291,4.806,5.056
2026-04-03,Oklahoma,OK,3.275,3.69,3.968,4.512
2026-04-03,Oregon,OR,4.971,5.212,5.487,6.189
2026-04-03,Pennsylvania,PA,4.117,4.543,4.925,6.011
2026-04-03,Rhode Island,RI,3.927,4.616,4.986,5.755
2026-04-03,South Carolina,SC,3.83,4.271,4.673,5.525
2026-04-03,South Dakota,SD,3.539,3.655,4.186,4.617
2026-04-03,Tennessee,TN,3.849,4.308,4.71,5.357
2026-04-03,Texas,TX,3.816,4.301,4.671,5.163
2026-04-03,Utah,UT,4.185,4.467,4.716,5.461
2026-04-03,Vermont,VT,4.022,4.51,4.951,5.851
2026-04-03,Virginia,VA,4.03,4.499,4.876,5.728
2026-04-03,Washington,WA,5.37,5.639,5.878,6.738
2026-04-03,West Virginia,WV,3.955,4.392,4.833,5.44
2026-04-03,Wisconsin,WI,3.801,4.283,4.887,4.734
2026-04-03,Wyoming,WY,3.839,4.151,4.434,4.994
2026-04-04,Alabama,AL,3.829,4.283,4.688,5.398
2026-04-04,Alaska,AK,4.632,4.847,5.092,5.792
2026-04-04,Arizona,AZ,4.73,5.116,5.432,6.154
2026-04-04,Arkansas,AR,3.597,4.028,4.398,5.06
2026-04-04,California,CA,5.915,6.151,6.336,7.64
2026-04-04,Colorado,CO,3.837,4.236,4.564,5.067
2026-04-04,Connecticut,CT,4.064,4.566,4.974,5.905
2026-04-04,Delaware,DE,3.9,4.469,4.785,5.766
2026-04-04,District of Columbia,DC,4.271,4.811,5.198,5.797
2026-04-04,Florida,FL,4.215,4.664,4.991,5.815
2026-04-04,Georgia,GA,3.715,4.18,4.607,5.269
2026-04-04,Hawaii,HI,5.581,5.794,6.048,6.877
2026-04-04,Idaho,ID,4.26,4.553,4.822,5.505
2026-04-04,Illinois,IL,4.282,4.841,5.321,5.245
2026-04-04,Indiana,IN,3.919,4.462,4.956,5.28
2026-04-04,Iowa,IA,3.502,3.692,4.35,5.03
2026-04-04,Kansas,KS,3.359,3.689,4.005,4.661
2026-04-04,Kentucky,KY,3.914,4.446,4.885,5.165
2026-04-04,Louisiana,LA,3.782,4.216,4.618,5.276
2026-04-04,Maine,ME,3.956,4.47,4.966,5.862
2026-04-04,Maryland,MD,4.079,4.62,4.975,5.9
2026-04-04,Massachusetts,MA,3.911,4.475,4.867,5.826
2026-04-04,Michigan,MI,3.868,4.458,5.02,5.063
2026-04-04,Minnesota,MN,3.571,3.986,4.507,4.992
2026-04-04,Mississippi,MS,3.748,4.186,4.585,5.255
2026-04-04,Missouri,MO,3.543,3.957,4.265,4.756
2026-04-04,Montana,MT,3.771,4.108,4.434,4.874
2026-04-04,Nebraska,NE,3.492,3.667,4.115,4.796
2026-04-04,Nevada,NV,4.99,5.303,5.587,6.367
